Sentiment,text
negative,@11chiqa11 sudah chiq..ak smpk stres  knpa yahh..heheh..well i'll try next time..
negative,why does the lake have to be all crappy over on my side?! really one nice day and it's ruined  hmm...but still hanging out with the aw ...
negative,"so tired.. think i have the flu... the regular flu, not the piggy flu... "
negative,I want a Wave account 
negative,@TheEllenShow a baby bird that fell from it's nest 
negative,Checking out 5 Seasons Westside &amp; Retromodern going out of business sale...sad about the Grey's Anatomy finale I caught this morning 
negative,@itsChrisOhh I hate the gym  you need to come back chris
negative,@mechaganon sorry it's raining on your party today 
negative,i always thought i could make kingscot from my felted tweed knockoff (grignasco tango)... don't think it's the right gauge 
positive,@kingbaz They don't have enough people to kill for 5 more episodes 
positive,@NathanaelB nope. Im going to your party as a woman. Obviously a seductress and thus a deamon according to the cult. going pinup style 
positive,@squash86. I'll keep that in mind 
positive,Neville88@JBeauty am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better 
positive,will have dinner in a few.....  http://plurk.com/p/z1xcn
positive,now im bored.. i wonder wat's on tv... oh well.. time for my latop to rest.. the installs can wait later... 
positive,@genkakuzai You know it 
positive,i hope chelsea wins 
positive,I just found Jason Castro!!! Cool! I think he was great in AI...  
positive,@realphilhendrie : Can't send you a direct message because you're not following me 
positive,bought 3 SWAY SWAY BABY tickets  yessss
positive,"I'm glad Billy Elliot won. I would have loved for Next to Normal to win, but I'm very happy with Billy Elliot. "
